id,in_moc1,in_moc2,in_moc3,in_qe1,in_qe2,in_qe3,in_qe4,in_p1,in_p2,in_p3,in_v1,in_v2,in_v3,in_a1,in_a2,in_a3,in_j1,in_j2,in_j3,in_s1,in_s2,in_s3,in_yaw1,in_yaw2,in_yaw3,in_estop,in_ack,tx_i161,tx_i162,tx_i163,tx_i164,tx_i165,tx_i166,tx_i167,tx_i168,tx_i169,tx_i1610,tx_i1611,tx_i1612,tx_i1613,tx_i1614,tx_i1615,tx_i1616,tx_i1617,tx_i1618,tx_i1619,tx_i1620,tx_i1621,tx_q,tx_flags1,tx_flags2,rx_moc1,rx_moc2,rx_moc3,rx_qe1,rx_qe2,rx_qe3,rx_qe4,rx_p1,rx_p2,rx_p3,rx_v1,rx_v2,rx_v3,rx_a1,rx_a2,rx_a3,rx_j1,rx_j2,rx_j3,rx_s1,rx_s2,rx_s3,rx_yaw1,rx_yaw2,rx_yaw3,rx_estop,rx_ack
sat_p,0,0,1,1,0,0,0,30,-30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,32767,-32768,32767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537395712,0,0,0,0,0.99978637043366803,1,0,0,0,20,-20.00061037018952,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sat_v,0,0,1,1,0,0,0,0,0,1,30,-30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,32767,-32768,32767,0,0,0,0,0,0,0,0,0,0,0,0,537395712,0,0,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,20,-20.00061037018952,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sat_a,0,0,1,1,0,0,0,0,0,1,0,0,0,80,-80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,32767,-32768,32767,0,0,0,0,0,0,0,0,0,537395712,0,0,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,0,0,0,50,-50.0015259254738,50,0,0,0,0,0,0,0,0,0,0,0
sat_j,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,300,-300,250,0,0,0,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,32767,-32768,32767,0,0,0,0,0,0,537395712,0,0,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,200,-200.0061037018952,200,0,0,0,0,0,0,0,0
sat_s,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3000,-3000,2500,0,0,0,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,32767,-32768,32767,0,0,0,537395712,0,0,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,2000,-2000.061037018952,2000,0,0,0,0,0
sat_yaw,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,-40,400,0,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,32767,-32768,32767,537395712,0,0,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,4,-20.00061037018952,200,0,0
estop1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537395712,1,0,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
estop2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537395712,2,1,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
estop2_na,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1638,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537395712,2,0,0,0,0.99978637043366803,1,0,0,0,0,0,0.99978637043366803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
rand001,-13.975342646048093,-12.566149342221149,-21.961604698967118,-0.85378393146975207,-0.43508395178056392,0.051902040678294389,-0.28117811337387255,-16.705312706467968,6.7812641659926314,13.100055907405315,7.568046325368873,-15.538005775764756,16.528086392129772,-10.773854697956921,21.912487748256595,9.1381156037313911,155.32003754165689,-47.738566937950452,-19.19453028407812,-548.61988239900256,-49.96422773806777,-1983.4703846636762,2.9576697796881914,-15.630625272921087,-44.870685789544147,1,1,-22897,-20588,-32768,-27369,11110,21462,12399,-25457,27079,-7061,14360,5989,25447,-7821,-3145,-8988,-819,-32496,24228,-25608,-7351,866609867,1,1,-13.975646229438155,-12.566301461836604,-20.00061037018952,0.85412729419636091,0.43450397121834816,-0.05258328314107398,0.28090543362205311,-16.705221716971344,6.7812128055665761,13.099765007477036,7.5679799798577836,-15.538193914609211,16.528214362010559,-10.774559770500808,21.912289803765983,9.1387676625873588,155.3209021271401,-47.737052522354809,-19.196142460402235,-548.60072634052551,-49.989318521683401,-1983.4589678640095,2.9576097903378398,-15.630359813226722,-44.868312631611069,1,1
rand002,-9.4020101760069483,-3.838820999109025,7.5498494450906311,-0.65217322782342846,-0.44770240190214222,0.47448685008863056,0.38612804784733329,17.363707145174562,-20.031646965666166,11.331050532838484,-18.065514280710886,0.26067868626770796,-0.25187027336123347,-29.96514094284008,-25.104519563194113,51.577678947598457,-25.692530368900265,200.04415688194109,186.08630994471008,-927.35977675491665,-1687.6435725598947,1580.4569089826766,0.49885302929720204,10.81627590870578,-13.45360635953201,2,0,-15404,-6289,12369,28448,-32768,18564,-29598,427,-413,-19637,-16452,32767,-4209,32767,30487,-15193,-27650,25893,4086,17721,-2204,876782825,2,0,-9.4021423993652142,-3.838618121890927,7.5496688741721858,0.65166046672233535,0.44834167730810448,-0.47463331887864146,-0.3860719999042011,17.363811151463363,-20.00061037018952,11.330912198248237,-18.0657368694113,0.260628070925016,-0.2520828882717368,-29.964598529007844,-25.104525894955291,50,-25.690481276894438,200,186.08355967894528,-927.3354289376507,-1687.6735740226447,1580.4315317239907,0.49879451887569809,10.816370128482925,-13.452558977019562,2,0
rand003,-14.473410302930766,-8.4370560635276544,4.6522457472265426,-0.11851731438481909,0.3485919669439847,-0.77467249052267684,0.51412043258416318,3.4197840506634067,-8.6237782802003746,12.2330193630405,20.145266972451143,6.4542652659521345,-15.769395784156888,1.1508368298266414,-33.891084129366419,-21.503357056418835,-159.61152063725771,-63.68285583765261,-213.63724762245204,1100.6138692370566,-533.41314364341122,-745.67677989298545,1.5786663031304928,4.2081315039447045,120.65809286089838,0,1,-23713,-13823,7622,5603,-14129,20042,32767,10574,-25836,754,-22210,-14092,-26150,-10433,-32768,18032,-8739,-12217,12932,6894,19768,2774798476,0,1,-14.473708304086429,-8.4371471297341838,4.6522415845210121,0.11900427237190428,-0.34871019346185905,0.77411793757201619,-0.51476266653893477,3.4199041718802454,-8.6239204077272866,12.233039338358715,20,6.4540543839838866,-15.769524216437269,1.1505478072450941,-33.890804773094885,-21.503341776787622,-159.61180455946533,-63.679921872615743,-200.0061037018952,1100.6195257423628,-533.40250862147889,-745.68926053651535,1.5786614581743827,4.2078920865504932,120.65797906430249,0,1
rand004,7.9219700637202664,1.2962357308992187,17.574818320252579,-0.47705559091780153,0.58723816391490036,-0.19913237992236243,-0.62282870621253472,-10.904532867343386,-6.2858653285339692,21.085234015514111,-15.80104184746283,11.506013301670501,-21.920413346903921,-2.7418012485835308,-7.5604673736782608,2.130478273788543,117.61602526506751,-98.767626794997369,-144.17886299538154,766.56669787725627,-629.37521557821776,1560.8793596478899,3.1789013074159924,-14.371692061038432,93.588734116255736,1,0,12979,2124,28794,-17865,-10298,32767,-25888,18851,-32768,-1797,-4955,1396,19270,-16182,-23622,12559,-10311,25573,26041,-23546,15333,4119945872,1,0,7.9219946897793507,1.2964262825403607,17.574999237037265,0.47740086009659272,-0.58671873820566756,0.19926296769249088,0.62301188650278905,-10.904263435773796,-6.2855922116763816,20,-15.801263466292307,11.506088442640461,-20.00061037018952,-2.7420880764183475,-7.5609607226783044,2.1301919614246039,117.61833552049318,-98.77010406811732,-144.18164616840113,766.56392101809752,-629.35270241401406,1560.8996856593524,3.1789300210577713,-14.371776482436598,93.588061159092987,1,0
rand005,16.051486023384417,-11.331849497066543,-15.372723828037287,-0.4200194913438367,0.52530739521841341,-0.71530644189104475,-0.18966407569511873,0.99779545933821057,16.353052553552761,-7.0644924817839048,-15.710444359419132,-4.9960114105820583,-17.245976187082732,-9.4864178116241202,31.677966390666885,23.439906621299958,-166.54070104229868,-151.52876318388806,-19.263120533831398,-1668.8496727943334,-1235.8307904467231,832.34255245623547,0.59650212687069071,-2.3305727362107875,166.054006811383,2,1,26298,-18566,-25186,1635,26792,-11574,-25739,-8185,-28255,-6217,20760,15361,-27285,-24826,-3156,-27342,-20247,13637,4886,-3818,27205,3003257481,2,1,16.051515243995482,-11.332132938627277,-15.372783593249306,0.4206662651285919,-0.52583283141073989,0.71456311799588001,0.1895765734296615,0.99795525986510814,16.353038117618336,-7.06442457350383,-15.710318308053834,-4.9958800012207405,-17.246009704886013,-9.4866786706137276,31.678212836085084,23.439741203039645,-166.53950621051669,-151.53050325022127,-19.263283181249427,-1668.8741721854306,-1235.8165227210302,832.36182744834741,0.59645374919888916,-2.3303933835871455,166.05121005890072,2,1
rand006,2.790787622888129,-21.769803683230833,21.094572042323222,0.45165736035177245,-0.72444106364842875,0.52075749365445856,0.0015514324763671163,-15.844197003089473,11.183571572511161,-12.306319004870986,-20.436099643471582,-18.468994021943146,-13.885629598106721,14.400399707220895,20.861769202242435,32.191953077590604,-165.14699717133553,43.816506559519866,-59.999002679056382,2035.554462005412,938.88730714781479,1709.4995401235105,3.6555671475832585,0.39892299505245532,26.654454091705361,0,0,4572,-32768,32767,-25958,18323,-20162,-32768,-30259,-22750,9437,13672,21097,-27057,7179,-9830,32767,15382,28008,29945,654,4367,1268916735,0,0,2.7906125064851834,-20.00061037018952,20,-0.45110921852605573,0.72511296399349412,-0.52029774897483727,-0.0013837706089756311,-15.843989379558701,11.183812982573931,-12.306283761101108,-20.00061037018952,-18.469191564683982,-13.885921811578722,14.400158696249274,20.862453077791681,32.19244972075564,-165.1478621784112,43.818475905636767,-59.99938962981048,2000,938.87142551957766,1709.5248268074588,3.6555070650349437,0.39918210394604325,26.654866176335947,0,0
rand007,-10.61678740701646,1.7642655152474989,9.7646491046306476,0.68216044558476641,0.65494891371169506,0.27989715298725537,-0.16539839980209198,11.637190902458117,-4.168619350038778,-11.6689935516336,20.314543133050428,4.6404574111216057,-4.4595834252212567,19.067630902094308,38.876126397127535,-46.162101709135797,-17.551807084224045,-151.27770162053761,-197.00816211680066,-2152.1839804557121,-573.68173272977492,-28.010666021000574,2.7548603491859787,-13.371386542594294,73.679767658922827,1,1,-17394,2890,15998,19066,-6830,-19118,32767,7603,-7306,12496,25477,-30252,-2876,-24785,-32277,-32768,-9399,-459,22567,-21907,12071,1033578888,1,1,-10.616779076509903,1.7639698477126378,9.7647022919400612,0.68256370149437895,0.6545234980454735,0.27952166301307746,-0.16605247307707574,11.637318033387249,-4.1688283944212161,-11.669057283242287,20,4.6406445509201326,-4.45936460463271,19.067964720603047,38.87600329599902,-46.162297433393356,-17.554246650593583,-151.28025147251807,-197.00918607135227,-2000.061037018952,-573.68694112979517,-28.015991698965422,2.7548448133793144,-13.37137974181341,73.677785576952417,1,1
rand008,-2.6065092354773984,13.424399506855082,-10.886877196503601,0.58841330505950373,0.34094430123719838,-0.51602840623562207,-0.52080845791975527,0.2210261860694871,3.1128683174253871,8.6764443864871144,-8.4206585905533338,-20.582094967808189,-20.266507612479636,-22.277003754835633,-38.212097356345701,34.595550307540996,186.26307618863146,-62.178549488182611,-110.2752200602679,-1703.7239106530185,-2185.7216790810521,-672.60715657920787,1.3901725167885239,-11.607807832769996,179.94411664951704,2,0,-4270,21994,-17837,362,5100,14215,-13796,-32768,-32768,-14599,-25042,22672,30516,-10187,-18067,-27913,-32768,-11020,11388,-19018,29481,794963080,2,0,-2.6062807092501603,13.424481948301645,-10.887173070467238,0.58907197713746617,0.34040756980800524,-0.51614643714791042,-0.52029774897483727,0.22095400860621967,3.1128879665517135,8.6764122440260021,-8.4206671346171458,-20.00061037018952,-20.00061037018952,-22.27698599200415,-38.212225714896086,34.595782341990414,186.26056703390606,-62.178411206396682,-110.27558214056826,-1703.7263100070193,-2000.061037018952,-672.6279488509781,1.3901791436506241,-11.608020264290293,179.94323557237465,2,0
rand009,9.9832074917970548,-7.7415072299402379,7.6601679152905433,-0.74194828137488344,-0.36911084524310328,-0.28503511517770769,-0.48168964573095141,4.777847302520275,1.9983335371063324,-2.6101792931380325,21.023686082677028,0.44302492331176602,13.739336040705103,-44.234178785723181,-31.558276000015063,-16.305220488139241,82.141364878818507,-125.52645709062247,61.424274620985798,796.62897348147305,-95.813106564821737,-1268.5081258170953,2.4379590447723638,1.1502717486159635,114.22717682821811,0,1,16356,-12683,12550,7828,3274,-4276,32767,726,22510,-28988,-20681,-10685,13458,-20566,10063,13052,-1570,-20783,19971,1885,18714,817576796,0,1,9.983214819788202,-7.741325113681448,7.6601458784752952,0.74185205824044043,0.36946675259649348,0.28505674544898002,0.48155217192351962,4.7779778435621205,1.9983520004882962,-2.6099429303872799,20,0.44312875759147924,13.739432966093936,-44.233527634510331,-31.557664723654895,-16.304513687551498,82.143620105594039,-125.52873317667165,61.421552171391951,796.65517136143069,-95.828119754631189,-1268.5323648792994,2.4379406109805597,1.1505478072450941,114.22467726676228,0,1
rand010,-3.374512699723148,-1.0074282947581423,3.8479298842923835,0.55853373835147768,-0.25446637636092329,-0.78645234351464344,0.069134924641524084,-21.288010600848278,19.69787209883329,18.654497594832804,20.475165031039356,-0.2817423563391368,6.8277236832109462,-41.308789211095643,-3.4423082901618471,36.030483112070691,168.92592707986347,112.77059479638605,192.82248840023533,1397.8461158131561,-286.40727520409672,854.83898233988839,-0.31008236142270684,14.267693868711566,-104.8452033612067,1,0,-5529,-1651,6304,-32768,32272,30563,32767,-462,11186,-27071,-2256,23612,27676,18476,31591,22902,-4692,14005,-2540,23375,-17177,2261443022,1,0,-3.3747367778557695,-1.0077211828974273,3.8477736747337259,-0.55904332602615492,0.25461379205151613,0.78603773686579426,-0.069188530448781552,-20.00061037018952,19.697866756187629,18.654744102298043,20,-0.28199102755821404,6.8276009399700914,-41.308328501235998,-3.4424878688924831,36.030152287362284,168.92605365153966,112.77199621570483,192.82204657124547,1397.8698080385755,-286.38569292275764,854.82345042268139,-0.31006805627613149,14.267403180028687,-104.84328745384076,1,0
rand011,-12.402226694438406,-1.23923528716012,3.0918654226794171,0.33925930239041546,-0.40644471707140523,-0.69461692763432659,-0.48704531775817606,-15.104303283529321,16.447450180064028,0.55703930328768436,6.3299598783411346,-12.576271756022672,-21.521167457532723,53.931846409420636,16.593354331180439,44.748890626153823,43.336465954231087,66.109025462169356,118.02704721222854,1037.6774740577573,-5.4737699207946466,-1367.146217526818,0.31140682629337252,-7.3004575379877839,-20.218274530653936,2,1,-20319,-2030,5066,-24746,26947,913,10371,-20604,-32768,32767,10874,29326,7100,10831,19337,17001,-90,-22399,2551,-11961,-3312,2428279648,2,1,-12.402111880855738,-1.2390514847254861,3.0921353801080356,-0.33902379919902964,0.40682855903883552,0.69447778493457968,0.48708725435942213,-15.104220709860531,16.447645496993928,0.55726798303170877,6.330149235511338,-12.576067384868923,-20.00061037018952,50,16.592913602099674,44.749290444654683,43.336283455916011,66.109195226905115,118.02728354747154,1037.6903592028566,-5.4933317056794948,-1367.1681875057222,0.31141087069307533,-7.3006378368480487,-20.215460676900541,2,1
rand012,-20.683161115350881,0.84826606322781828,14.291311831597334,0.28144327625934856,0.15601266090639393,0.9270939658205436,0.19221475079828637,-14.767906169619835,17.764226780875674,-0.72687619815421423,-2.1872596825436368,-11.314878487852063,3.1257500183210718,-48.332412899529785,49.819159166678944,-10.79844143334496,-185.00106507012376,155.56634491874161,-144.22114603894144,-410.13846797316728,1814.8543275355034,2048.7804084301688,3.543083667744741,-17.231271720218228,-4.2652806966869283,0,0,-32768,1390,23414,-24195,29104,-1191,-3583,-18538,5121,-31674,32648,-7077,-30310,25487,-23628,-6720,29734,32767,29024,-28231,-699,2897856139,0,0,-20.00061037018952,0.84841456343272192,14.291207617419966,0.28090543362205311,0.1563660788142463,0.92717071152959163,0.19234411464761272,-14.767906735435041,17.764213995788445,-0.72695089571825311,-2.1869563890499588,-11.315042573320719,3.1257057405316324,-48.332163457136751,49.818414868617815,-10.798974578081607,-185.00320444349498,155.5650502029481,-144.21826837977233,-410.16876735740226,1814.8747215186011,2000,3.5430768761253701,-17.231360820337535,-4.2664876247444079,0,0
rand013,-17.726362653671245,-1.0501344787862084,-2.4692177534375235,-0.067818751353191681,-0.99595361538645155,-0.044740599888445254,0.038409525969114185,-17.935846869181912,-8.1165343512065462,16.058186785073865,8.66600490169394,3.0793924553678464,-3.3946131512592737,37.186521810098014,-16.420691167726538,31.564476263197498,-65.982402751079945,-23.007988894956295,82.875851812171277,2093.0787800721096,-1863.3621483178806,-1423.0530140441365,-2.4926174392541394,-7.9283794168830211,-203.52921650489259,1,1,-29042,-1720,-4045,-29385,-13298,26309,14198,5045,-5562,24370,-10761,20685,-10810,-3770,13578,32767,-30528,-23315,-20419,-12989,-32768,1662550500,1,1,-17.72637104403821,-1.0498367259743033,-2.4689474166081729,0.067804759839805939,0.99596210670758134,0.044280659487220202,-0.038745577051317676,-17.935728019043548,-8.1167027802362135,16.058229316080201,8.6660359508041633,3.0793176061281167,-3.3948789941099276,37.186803796502581,-16.420484023560288,31.563768425550098,-65.98101748710593,-23.010956144901883,82.876064333017979,2000,-1863.3381145664846,-1423.0780968657491,-2.4926297799615469,-7.9280983916745509,-200.0061037018952,1,1
rand014,-16.947439607511736,13.387261127876464,15.923399122700683,0.72488152079731671,0.53568005011379027,-0.30779898403748113,-0.30471864094956636,-20.369572065273211,9.5587194952537793,20.327024467579154,16.357159419240556,-7.5725410144308025,8.0253004740285547,5.6238984340991705,8.643302951519777,-48.402386053589211,-147.09744061039467,-33.565308934255413,-40.781138775312684,2119.2402476749285,1318.7366788540126,-946.81890654907215,2.4801642988898491,9.2769015410304547,-181.27258758073222,2,0,-27766,21933,26088,-32768,15661,32767,26799,-12406,13148,3686,5664,-31720,-24100,-5499,-6681,32767,21606,-15512,20317,15199,-29699,942967076,2,0,-16.947538682210762,13.387249366740928,15.923337504196295,0.72537698803524453,0.53551922567356924,-0.3071970751925901,-0.30442953397463884,-20.00061037018952,9.5590075380718407,20,16.357310708944976,-7.5722525711844231,8.025147251808221,5.6245612964262826,8.6428418836024044,-48.40235602893155,-147.09921567430646,-33.56425672170171,-40.778832361827448,2000,1318.7658314767907,-946.80623798333693,2.4801782280953399,9.2770165105136257,-181.27384258552812,2,0
rand015,-10.66652018388899,13.427400245322762,10.859571691489654,-0.77355014471076433,-0.31188684843344117,-0.32997099689880038,-0.44211526618951219,-14.958664492132666,12.21170298336266,-11.311790797354847,16.814560016080726,-12.360225091644892,-0.43775936190613596,35.420444169306009,18.878452864210907,-46.352030105926637,193.58640479855035,-153.41199679351519,-65.885503946339654,1075.4967831108936,-1977.7100659165721,-468.01409445819911,-3.8593073872211701,14.734531595045461,28.305600389218707,0,1,-17475,21999,17792,-24508,20007,-18533,27548,-20250,-717,23212,12372,-30376,31716,-25134,-10794,17620,-32402,-7668,-31614,24140,4637,773569344,0,1,-10.666219061861019,13.427533799249245,10.859706411938841,0.77364163224836857,0.311348387019517,0.32933740493620017,0.44280659487220198,-14.958952604754783,12.211676381725516,-11.311990722373119,16.814477980895415,-12.359996337778863,-0.43763542588579973,35.419782097842344,18.878749961851863,-46.351512192144533,193.5850093081454,-153.41044343394267,-65.883358256782742,1075.472273934141,-1977.721488082522,-468.03186132389294,-3.859248634296701,14.734336375011445,28.302865688039795,0,1
rand016,2.5499086756727189,-13.026383357830227,-21.172638428757892,-0.68927778055283029,-0.53962704462154087,0.0043108498747525589,0.48340481019797793,20.321843887408033,-18.939062054197024,-0.40172098975858184,7.9334724721864944,4.0216721430992033,-2.4302154054078997,-48.502742063817266,-0.61411020603373223,-9.4671953850648691,-186.77587597502742,165.39509904629824,-83.478139051171112,565.20701572728592,-1784.2987347971136,76.271091742535106,0.77986316725397764,10.694438439977535,-18.570263706803473,1,0,4178,-21342,-32768,32767,-31029,-658,12998,6589,-3982,-31786,-402,-6204,-30600,27098,-13677,9260,-29233,1250,6388,17521,-3042,946336931,1,0,2.5501266518143253,-13.026520584734641,-20.00061037018952,0.68957331225497098,0.53967053750049621,-0.0041513118269268946,-0.48293594253249533,20,-18.939176610614339,-0.40162358470412307,7.9335917233802302,4.0217291787469103,-2.4304940946684166,-48.503067110202338,-0.61342204046754356,-9.4668416394543282,-186.77327799310282,165.39811395611437,-83.48033082064272,565.20279549546797,-1784.2951750236518,76.296273689992987,0.7798089541306803,10.694296090578936,-18.567461165196693,1,0
rand017,0.26369890807609941,11.939145186168965,19.851622611245528,0.020392144415836141,0.44130132193916127,0.076854149606766883,-0.8938292585214993,-19.539464358990635,18.218069960540689,9.2140392867978917,18.157883585981097,17.206404231966854,-5.2811474201626289,27.855004534431608,-1.6597126195775558,4.7904756545169258,75.0649256121402,-207.1516370452062,81.063986218353122,-1128.9431565495288,-1349.7901533723286,1541.8394911363227,4.2142600408301814,-19.263017848033094,-111.45414551228964,2,1,432,19560,32524,-32012,29848,15096,29749,28190,-8652,18254,-1088,3139,12298,-32768,13281,-18496,-22114,25261,32767,-31560,-18260,3742565832,2,1,0.26367992187261574,11.938840907010102,19.851680043946654,-0.020756559134634468,-0.44142282426322632,-0.077491154102635337,0.89370586688698028,-19.539170506912441,18.218329416791285,9.2141483809930715,18.157902768028809,17.206335642567218,-5.2809228797265542,27.854243598742638,-1.6602069154942471,4.7898800622577591,75.063325907162692,-200.0061037018952,81.06326487014374,-1128.9407025360881,-1349.7726371044039,1541.8561357463302,4,-19.263283181249427,-111.45359660634175,2,1
